filename,nwords,cl_av_deps,cl_ndeps_std_dev,acomp_per_cl,advcl_per_cl,agent_per_cl,cc_per_cl,ccomp_per_cl,conj_per_cl,csubj_per_cl,csubjpass_per_cl,dep_per_cl,discourse_per_cl,dobj_per_cl,expl_per_cl,iobj_per_cl,mark_per_cl,ncomp_per_cl,neg_per_cl,nsubj_per_cl,nsubjpass_per_cl,parataxis_per_cl,pcomp_per_cl,prep_per_cl,prepc_per_cl,prt_per_cl,tmod_per_cl,xcomp_per_cl,xsubj_per_cl,advmod_per_cl,aux_per_cl,auxpass_per_cl,modal_per_cl
0A082DA0A890.txt, 320, 2.13559322034,1.21372974847,0.0677966101695,0.0338983050847,0.0,0.0,0.101694915254,0.118644067797,0.0169491525424,0.0,0.0338983050847,0.0,0.64406779661,0.0169491525424,0.0677966101695,0.101694915254,0.0169491525424,0.0338983050847,0.35593220339,0.0,0.0169491525424,0.0,0.271186440678,0.0847457627119,0.0,0.0,0.0677966101695,0.0,0.0847457627119,0.203389830508,0.0,0.152542372881
0A1482CD6163.txt, 388, 2.62857142857,1.27807252836,0.0,0.0857142857143,0.0,0.0,0.185714285714,0.142857142857,0.0142857142857,0.0,0.0571428571429,0.0142857142857,0.385714285714,0.0571428571429,0.0,0.214285714286,0.0428571428571,0.0285714285714,0.714285714286,0.0,0.0,0.0,0.342857142857,0.0142857142857,0.0142857142857,0.0142857142857,0.128571428571,0.0,0.142857142857,0.271428571429,0.0,0.142857142857
0A159A97697C.txt, 285, 2.27450980392,0.909178283872,0.0980392156863,0.0392156862745,0.0,0.0196078431373,0.0980392156863,0.0196078431373,0.0392156862745,0.0,0.0196078431373,0.0,0.294117647059,0.0,0.0,0.0980392156863,0.21568627451,0.0588235294118,0.686274509804,0.0196078431373,0.0,0.0,0.196078431373,0.0196078431373,0.0,0.0392156862745,0.0980392156863,0.0,0.176470588235,0.21568627451,0.0196078431373,0.274509803922
0A1B8662B5AC.txt, 570, 2.68,1.24,0.1,0.15,0.01,0.0,0.11,0.14,0.0,0.0,0.05,0.0,0.37,0.02,0.0,0.18,0.01,0.01,0.75,0.03,0.0,0.0,0.28,0.01,0.05,0.0,0.19,0.0,0.18,0.27,0.03,0.2
0A4CDC286F8C.txt, 221, 2.48936170213,1.06934739346,0.063829787234,0.170212765957,0.0,0.0,0.148936170213,0.063829787234,0.0,0.0,0.063829787234,0.0,0.276595744681,0.0212765957447,0.0212765957447,0.340425531915,0.0,0.0425531914894,0.68085106383,0.0,0.0,0.0,0.297872340426,0.0,0.0212765957447,0.0,0.170212765957,0.0,0.106382978723,0.36170212766,0.0,0.170212765957
0A5637A785BA.txt, 482, 2.42708333333,1.06794966785,0.0833333333333,0.104166666667,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.375,0.0208333333333,0.0,0.104166666667,0.125,0.0520833333333,0.708333333333,0.0104166666667,0.0104166666667,0.0,0.25,0.0208333333333,0.03125,0.0104166666667,0.09375,0.0,0.177083333333,0.25,0.0,0.03125
0A6313BC210C.txt, 334, 3.08,1.2936769303,0.12,0.08,0.0,0.04,0.12,0.04,0.04,0.0,0.16,0.0,0.6,0.0,0.0,0.2,0.12,0.0,0.88,0.04,0.04,0.0,0.2,0.04,0.04,0.04,0.08,0.0,0.16,0.32,0.04,0.44
0A7DEB4B5011.txt, 389, 2.91044776119,1.55238231254,0.089552238806,0.044776119403,0.0746268656716,0.0,0.194029850746,0.119402985075,0.0,0.0,0.0746268656716,0.0,0.492537313433,0.0149253731343,0.0,0.119402985075,0.044776119403,0.0746268656716,0.701492537313,0.0597014925373,0.0597014925373,0.0,0.283582089552,0.0746268656716,0.0149253731343,0.0,0.089552238806,0.0,0.238805970149,0.134328358209,0.0597014925373,0.208955223881
0A80A992E9AA.txt, 763, 2.76229508197,1.44320498691,0.0819672131148,0.106557377049,0.0,0.0,0.196721311475,0.122950819672,0.00819672131148,0.0,0.00819672131148,0.0,0.319672131148,0.00819672131148,0.016393442623,0.147540983607,0.0901639344262,0.0327868852459,0.696721311475,0.00819672131148,0.0409836065574,0.0,0.286885245902,0.0573770491803,0.00819672131148,0.0,0.172131147541,0.0,0.311475409836,0.327868852459,0.0,0.262295081967
0A8B8F282E45.txt, 459, 2.625,1.49478259289,0.125,0.15625,0.0,0.0,0.166666666667,0.104166666667,0.0104166666667,0.0,0.0833333333333,0.0,0.302083333333,0.0,0.0,0.208333333333,0.0729166666667,0.0416666666667,0.635416666667,0.0,0.03125,0.0,0.197916666667,0.0416666666667,0.0416666666667,0.0208333333333,0.09375,0.0,0.25,0.239583333333,0.0104166666667,0.104166666667
