Filename,lemma_ttr,lemma_mattr,lexical_density_tokens,lexical_density_types,syn_overlap_sent_noun,syn_overlap_sent_verb,syn_overlap_para_noun,syn_overlap_para_verb,sdi_noun,sdi_verb
SQuAD_Entry_20.txt,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
SQuAD_Entry_56.txt,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0
SQuAD_Entry_14.txt,0.6,0.6,1.0,1.0,1.0,0.0,1.0,0.0,0.7142857142857143,0
SQuAD_Entry_91.txt,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0
SQuAD_Entry_94.txt,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0,0
SQuAD_Entry_8.txt,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0
SQuAD_Entry_84.txt,0.5,0.5,0.75,0.75,1.0,0.0,1.0,0.0,0.5,0
SQuAD_Entry_13.txt,0.5,0.5,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,0.0,0.5,0
SQuAD_Entry_73.txt,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
SQuAD_Entry_62.txt,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
SQuAD_Entry_97.txt,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0
SQuAD_Entry_28.txt,1.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,1.0,0
SQuAD_Entry_90.txt,1.0,1.0,0.8,0.8,0.0,0.0,0.0,0.0,1.0,0
SQuAD_Entry_93.txt,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.75,1.0,0.0,1.0,0.0,0.5384615384615384,0
SQuAD_Entry_19.txt,0.5,0.5,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,0.0,0.5,0
SQuAD_Entry_70.txt,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0
SQuAD_Entry_10.txt,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0
SQuAD_Entry_61.txt,0.875,0.875,0.625,0.5714285714285714,0.3333333333333333,0.0,0.3333333333333333,0.0,0.8333333333333334,1.0
SQuAD_Entry_17.txt,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
SQuAD_Entry_54.txt,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0
SQuAD_Entry_59.txt,0.6,0.6,1.0,1.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6,0
SQuAD_Entry_49.txt,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
